Russian,Kubachin
"Лицо матери – солнце, лицо мачехи – сгоревшая лепешка","Абала бяй бейгвала, аттала хьунулла бяй – биккуб кIаппе"
Дурная голова ногам покоя не дает,Абдал бикIле тIумядди иццала дуукку
"По матери дочку выбирай, по вязке – материю","Аба йахккуб йуссе йакка, беша бахккван мас асса"
"есть, кто не сумел воспользоваться","Аллагьле биккаквазив ливзив асав, биччибил бумкки ухаквазив акквел. Нет человека кому Бог не дал,"
"Под невыросшим кустом, неродившиеся зайчата","БачIилазиб гъвилалгуд, дакьилажуд гъвялла дгIухIне"
"Была ли голова – не знаю, но шапку покупал","БикI тибдил ахху, амма кьапIа иссай"
При опасности и хищник Бога вспоминает,Шумагул бидесадаже бицIйа Аллагь букIузибсаб
Если плохое – то Патимы,Вагьили бачIибзиб – ПайтIмала
"Боль, что сам нашел, не так болит",Вагьле даччиб иццала иццецу
Пока не заплачет и мать дитё не накормит,Виссесахан абадил галйа валхаххан
Капля в море брызнет и то во вред бедняку,Ухьнацце шин пинцIдекIайа пакьиррий зарал
Негоже мужчине заниматься женскими делами,Адаме хьуннацце вишгьадавухху
"Напевай мой рот, плата тоже ведь тебе","Ажай деха жан муле, бичибил итий сабну"
"Я съел столько, сколько только ты видел","Иттий дахккубгьашуд, дам деунзивда"
"Отару и в тысячу голов, один чабан пасет",Азий маццала турзумйа са дукрушле бумкку
"Половина от матери, половина от одежды",Вабкье абадил викьу – вабкье палтарре
Не деньги делают мужчину,Аслидил адаме викьекьу
След «не знаю» никуда не приведет,Аххулла хьуне букакку
"Пусть казан открытый, но и у ложки должна быть совесть","ГIяшак таквле бухайа, милкьаллайа хIяя диккай"
Умершая корова – бурдюк масла,БибчIиб кьюл нехла тахъва
Ненасытный живот голову погубит,БикI чийгьабиччан бинкабихьа букIузиб саб кIултIа
Пустую руку и собака не лижет,БацI няхъ ххвилдилйа лямцI гьадабикьу
"Съеденное пропало, хранимое осталось","Бекунзиб бидажи, бишбумккубзиб каттилжин"
Пустая арба больше гремит,БацI укалла тIамне хял дихвай
"Рот съел, но до живота не дошло",Беквид муле букIул – кадабагъе кIултIа букIул
Как волки с собаками,БуцIе – худе дикьле
"Говоривший, что потом вырастет, хвост косули так и не вырос",БачIила гьиба букIузиб кIандала кIуме бачIибзиб асаб
Кушающий теленок не умирает,Букун къачча бубкIакIай
"а если и умрет, то на три дня позже","Букун къачча бубкIакIай, бибкIая гIябе гьитте бубкIай. Кушающий теленок не умирает,"
Иголкой могилу выкопает,Биппал ххяб укъан
Как нитка с иголкой,Биппабал дихан дикьле
Сладкие речи – ядовитое сердце,Бицце муле зарат укIве
Тихая кошка больше сала съедает,БягIна ккатадил гIяш ххвале букан
"Что закинешь, то и вынешь",Бишгьахьубил кабилтIан
"Где тонко, там и рвется",БакIул муссанил утту
От сваренного живот не крутит,Билхьунзибле кIултIа иццецихъу
"Думающий после того, как уже сделал",Бакьибжила пикре бийкьан
"Людям не угодишь, хоть свое сердце вынешь",БинисабтIин бакв укIве улий гIяхссив агатил
"Если огонь будет хоть в волчьем логове, он в темноте сидеть не станет","БицIла хъилиб цIа тибле, цIябгъле ужилласав"
Свои оставят и чужие не тронут,"Вагьлалдил ватал, улалдилъя вата"
Если своя собака не укусит и чужая не укусит,"Вагьла ххвил усасале, ула ххвилдил усасу"
"Свой чужим не станет, чужой – своим","Вагьла инсан уй агага, ула инсан вагьла агага"
Один бережливый лучше семерых приносящих,"Ве сабикъантажийа, са кабихьан гIяхвихвай"
"Мышке слезы, кошке свадьба","Васай бисса, читуй михъ"
"И мышка просит, чтобы в мельницу зерно носили",Васая шилкьанне ачIе дикъа букIузиб саб
Сытый голодного не поймет,Вилкъунилли кушсивла мягIна ахху
"Языкастый - на арбе, а владелец арбы - пешком","Укалжив мулилла вагь, хьва-хьвале укалла вагь"
"Не спрашивают, как долго делали, спрашивают о том, кто сделал","Кватте бикьайну гьадабукIа, чидил бакьайну гьабкIа"
"Характер, полученный в люльке, в могилу уносят",Лакьуйлиб гьабалчун хасият ххяже бикъу
Шутка может в ссору перейти,Масхъара хъасхъаралже бахьай
"Ржа ест железо, переживания – душу","Михли – ссим, укIилий – дард"
"Если держать рот, голова будет цела",Муццул бусал – бикI бусу 
"То густо, то пусто","Са дучче ве либде, ве дучче суннеде"
Терпение – ключ от рая,Сабур – алжаналла умхьу
